item_id,module,category,description,quantity,unit,revision / specification,required_or_optional,make_or_buy,supplier,supplier_id,source_file_or_url,notes
PCB-PBG-002,photobeam gate,circuit board,Custom PCB - IR beam-break array ,2,each,Add any relevant details,required,make,na,na,(path to file) + BB_IR_light_curtain (extension),
PCB-PBG-002,photobeam gate,cable assembly,"Molex PicoBlade cable assembly, 6-pos receptacle-to-receptacle, 1.25mm pitch, 28 AWG, 600mm.",4,each,6 Circuits | 1.25mm Pitch | 600mm Length | 28 AWG | 1.0A/125V | Female-Female,required,buy,mouser electronics (molex),15134-0606,https://www.mouser.fr/fr/ProductDetail/Molex/15134-0606?qs=F%2F1Z9SgJL%252BXGHMSsv17LNQ%3D%3D&srsltid=AfmBOooXJ6EFlUvROaISi8MahPHyYfjmF0QFsnMF959nA-DwN9ejpDzL,
PRT-SCR-001,screen,3D-printed part,display frame,1,each,"Black, PLA, 0.4mm ",required,make,na,na,screen_V3/screen_cover_v3.stl,
PRT-SCR-002,screen,3D-printed part,display back cover,1,each,"Black, PLA, 0.4mm ",required,make,na,na,screen_V3/screen_base_v3.stl,
PCB-SCR-001,screen,circuit board,custom main screen PCB,1,each,Add any relevant details,required,make,na,na,path to file? (BB_Feeder_main_V1.1) file extension?,
PCB-SCR-002,screen,circuit board,IR circuit board,2,each,38 kHz IR light-curtain board,required,make,na,na,03_ECAD_files/BB_IR_light_curtain_V2_38k (file extension?),
CMP-SCR-TFT-2.8,screen,purchased component,TFT LCD with touchscreen breakout board,1,each,"Adafruit 2.8"" ",required,buy,adafruit,1770,https://www.adafruit.com/product/1770?srsltid=AfmBOopAAACRHqAwPzQe3M8Ky8BkOSZhXyq1sctcAacogX7BpJ-I1rRh,
CBL-PICO-3P-50MM,screen,cable assembly,"Molex PicoBlade cable assembly, 3-circuit, double-ended, 50mm length.",2,each,"3 positions, 1.25mm pitch, 28 AWG wire, receptacle-to-receptacle connection, white/natural housing.",required,buy,mouser electronics (molex),538-15134-0300,https://www.mouser.fr/fr/ProductDetail/Molex/15134-0300?qs=lQAVKuKFhkLBenQanZjZ2Q%3D%3D&srsltid=AfmBOooMC_Bzj2NxWw0Ahg7RYbHxBgaQWiRWLL5p7mbrSblCwl4BEJGn,
PRT-BMT-001,water bottle mount,3D-printed part,Custom 3D-printed bracket that mounts directly to the exterior wall to secure the water bottle.,1,each,"color, PLA, 0.4 mm nozzle ?",required,make,Any black PLA filament ?,na,path to file + name of STL file,
TOL-HEXKEY-4MM,various,tool,4 mm hex key,1,each,NA,optionl,buy,na,na,,
TBC-HEXKEY-2.5MM,various,tool,2.5 mm hex key,1,each,"Long spherical-head metric hex key (Allen key), 2.5mm size",optional,buy,RS,235-2735,https://uk.rs-online.com/web/p/hex-keys/2352735,
TOL-FORC-,"various (screen, light ring)",tool,"Precision stainless steel tweezers, serrated tips, 150mm length.",1,each,"150mm overall length, stainless steel construction, straight serrated tips for general assembly and electronics handling.",optional,buy,RS,545-187,https://fr.rs-online.com/web/p/brucelles/0545187?cm_mmc=FR-PLA-DS3A-_-google-_-CSS_FR_FR_PMAX_RS+Pro-_--_-545187&matchtype=&&gclsrc=aw.ds&gad_source=1&gad_campaignid=20705694603&gbraid=0AAAAADkeWNPW6w32IrzNahb8NNEkIG0Ho&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjo8PmtNnHecL7vRiJNA6A_DrUDLeD3WlS5wduxy5bLQtTxuNUHZdmBoCLM8QAvD_BwE,
FST-M3X6,"various (screen, light ring, water bottle mount, photobeam gate)",fastening hardware,"A2 stainless steel button-head socket screw, M3 x 6mm, hex drive.",39,each,"M3 thread size, 6mm thread length, ISO 7380 standard, A2 (304) stainless steel construction, 2mm hex socket size, dome/button head design.",required,buy,RS,874-0995,https://fr.rs-online.com/web/p/vis-a-six-pans/8740995,
FST-M3X8,"various (enclosure, feeder)",fastening hardware,M3x8 mm hex socket button screw,17,each,stainless steel,required,buy,RS,183-8597,https://uk.rs-online.com/web/p/socket-screws/1838597,
FST-M3X10,"various (enclosure, light ring)",fastening hardware,M3x10 mm hex socket button screw,4,each,stainless steel,required,buy,RS,7976266,https://fr.rs-online.com/web/p/vis-a-six-pans/7976266?cjdata=MXxZfDB8WXww&cm_mmc=FR-CJAFF-_-Delupe+A%2FS-_-RS+Components+FR+Feeed&cjevent=2ada9a759c9311f1815501400a18b8f6,for door
FST-NUT-M3-HEX,"various (enclosure, light ring)",fastening hardware,M3 hex nut,42,each,stainless steel,required,buy,RS,189-563,https://fr.rs-online.com/web/p/ecrous-hexagonaux/0189563,
FST-INS-M3-BRASS,"various (screen, light ring, water bottle mount, feeder)",fastening hardware,"M3 brass threaded insert for plastics, tapered, flush install.",100,each,"M3 internal thread, brass alloy, tapered press-in/heat-stake installation (SI / PennEngineering IUTB series).",required,buy,mouser electronics,824-IUTB-M3,https://www.mouser.fr/fr/ProductDetail/SI/IUTB-M3?qs=7MVldsJ5Uay0LzKdLqXQgg%3D%3D&mgh=1&vip=1&utm_id=18189909961&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=18189915556&gbraid=0AAAAADn_wf1B8YKAcjjBjHxop-WWgr3gz&gclid=CjwKCAjwhZDUBhBGEiwAbi5bjqB3kPDRbBO9Mf0IcBi94LTNuBsk2W6A3u9nXbCrhYM1lZ6FH4O6oBoC948QAvD_BwE,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,tunnels ,,tunnel covver cut x 3 MM,2,,REDUIRE tAILLE OU Seulement mettre les vises d'en haut ,,,,,,
